"","ID","Name","Group","Genename","nodeDegree"
"366","365","MOXD1","1","monooxygenase DBH like 1",1
"367","366","IMPDH1","1","inosine monophosphate dehydrogenase 1",1
"368","367","KANK3","1","KN motif and ankyrin repeat domains 3",3
"369","368","CHST2","1","carbohydrate sulfotransferase 2",1
"370","369","MMD","1","monocyte to macrophage differentiation associated",3
"371","370","GLIPR2","1","GLI pathogenesis related 2",2
"372","371","MAPK1","1","mitogen-activated protein kinase 1",1
"373","372","FYB1","1","FYN binding protein 1",1
"374","373","PDP1","1","pyruvate dehyrogenase phosphatase catalytic subunit 1",2
"375","374","CHST11","1","carbohydrate sulfotransferase 11",2
"376","375","CDKN2C","1","cyclin dependent kinase inhibitor 2C",1
"377","376","GJA1","1","gap junction protein alpha 1",2
"378","377","CES1","1","carboxylesterase 1",2
"379","378","ITGA2B","1","integrin subunit alpha 2b",4
"380","379","ZNF513","1","zinc finger protein 513",2
"381","380","SLC44A3","1","solute carrier family 44 member 3",4
"382","381","GOLM1","1","golgi membrane protein 1",1
"383","382","C4orf48","1","chromosome 4 open reading frame 48",5
"384","383","SLC6A1","1","solute carrier family 6 member 1",1
"385","384","RPGRIP1","1","RPGR interacting protein 1",3
"386","385","CYSTM1","1","cysteine rich transmembrane module containing 1",1
"387","386","CRNKL1","1","crooked neck pre-mRNA splicing factor 1",3
"388","387","CYP4A11","1","cytochrome P450 family 4 subfamily A member 11",3
"389","388","NUS1","1","NUS1 dehydrodolichyl diphosphate synthase subunit",1
"390","389","KIRREL3-AS3","1","KIRREL3 antisense RNA 3",1
"391","390","ACOX2","1","acyl-CoA oxidase 2",1
"392","391","SOAT1","1","sterol O-acyltransferase 1",1
"393","392","ARHGEF16","1","Rho guanine nucleotide exchange factor 16",1
"394","393","SERPINF2","1","serpin family F member 2",2
"395","394","HIGD1A","1","HIG1 hypoxia inducible domain family member 1A",3
"396","395","NANOS1","1","nanos C2HC-type zinc finger 1",2
"397","396","ZNF669","1","zinc finger protein 669",1
"398","397","SULT1E1","1","sulfotransferase family 1E member 1",2
"399","398","UPB1","1","beta-ureidopropionase 1",3
"400","399","IQGAP1","1","IQ motif containing GTPase activating protein 1",1
"401","400","HSD17B8","1","hydroxysteroid 17-beta dehydrogenase 8",2
"402","401","STX3","1","syntaxin 3",1
"403","402","DHRS4L2","1","dehydrogenase/reductase 4 like 2",2
"404","403","VCAN","1","versican",1
"405","404","ATG4D","1","autophagy related 4D cysteine peptidase",1
"406","405","ARNTL2","1","aryl hydrocarbon receptor nuclear translocator like 2",1
"407","406","MYH7B","1","myosin heavy chain 7B",3
"408","407","CFL1","1","cofilin 1",2
"409","408","VAMP5","1","vesicle associated membrane protein 5",3
"410","409","CUEDC1","1","CUE domain containing 1",3
"411","410","LRRC8A","1","leucine rich repeat containing 8 VRAC subunit A",2
"412","411","ADRA2B","1","adrenoceptor alpha 2B",5
"413","412","SCARB1","1","scavenger receptor class B member 1",2
"414","413","TYROBP","1","TYRO protein tyrosine kinase binding protein",1
"415","414","CYB5D2","1","cytochrome b5 domain containing 2",2
"416","415","MRPS34","1","mitochondrial ribosomal protein S34",2
"417","416","CYSRT1","1","cysteine rich tail 1",1
"418","417","HNF1A","1","HNF1 homeobox A",1
"419","418","CHAD","1","chondroadherin",1
"420","419","PLPBP","1","pyridoxal phosphate binding protein",1
"421","420","ETV5","1","ETS variant transcription factor 5",1
"422","421","RHOQ","1","ras homolog family member Q",4
"423","422","SUCO","1","SUN domain containing ossification factor",1
"424","423","BEX4","1","brain expressed X-linked 4",2
"425","424","C20orf204","1","chromosome 20 open reading frame 204",2
"426","425","CES5AP1","1","carboxylesterase 5A pseudogene 1",3
"427","426","HCN3","1","hyperpolarization activated cyclic nucleotide gated potassium channel 3",2
"428","427","SIK3","1","SIK family kinase 3",2
"429","428","FCGR1B","1","Fc fragment of IgG receptor Ib",2
"430","429","BCAT1","1","branched chain amino acid transaminase 1",1
"431","430","GOT2","1","glutamic-oxaloacetic transaminase 2",1
"432","431","BATF","1","basic leucine zipper ATF-like transcription factor",1
"433","432","MMP24","1","matrix metallopeptidase 24",1
"434","433","SPATA21","1","spermatogenesis associated 21",1
"435","434","CHRNE","1","cholinergic receptor nicotinic epsilon subunit",3
"436","435","FZD5","1","frizzled class receptor 5",2
"437","436","SLC11A1","1","solute carrier family 11 member 1",1
"438","437","MST1R","1","macrophage stimulating 1 receptor",2
"439","438","CAPN5","1","calpain 5",1
"440","439","SYK","1","spleen associated tyrosine kinase",3
"441","440","PSMC3IP","1","PSMC3 interacting protein",2
"442","441","BBOX1","1","gamma-butyrobetaine hydroxylase 1",1
"443","442","PKM","1","pyruvate kinase M1/2",6
"444","443","TMSB4X","1","thymosin beta 4 X-linked",1
"445","444","PPP4R1","1","protein phosphatase 4 regulatory subunit 1",1
"446","445","PMEL","1","premelanosome protein",2
"447","446","DIO3OS","1","DIO3 opposite strand upstream RNA",2
"448","447","HES4","1","hes family bHLH transcription factor 4",2
"449","448","SUGCT","1","succinyl-CoA:glutarate-CoA transferase",3
"450","449","SLC18B1","1","solute carrier family 18 member B1",1
"451","450","MTMR11","1","myotubularin related protein 11",1
"452","451","PNMA1","1","PNMA family member 1",1
"453","452","FGR","1","FGR proto-oncogene, Src family tyrosine kinase",3
"454","453","IQCN","1","IQ motif containing N",1
"455","454",NA,"1",NA,1
"456","455","TRAPPC6A","1","trafficking protein particle complex 6A",4
"457","456","GYG1","1","glycogenin 1",2
"458","457","RAMP1","1","receptor activity modifying protein 1",1
"459","458","PHEX","1","phosphate regulating endopeptidase homolog X-linked",2
"460","459","FZD6","1","frizzled class receptor 6",1
"461","460","FADS3","1","fatty acid desaturase 3",1
"462","461","LHFPL2","1","LHFPL tetraspan subfamily member 2",1
"463","462","ANXA11","1","annexin A11",2
"464","463","LNP1","1","leukemia NUP98 fusion partner 1",4
"465","464","DRAIC","1","downregulated RNA in cancer, inhibitor of cell invasion and migration",1
"466","465","TDRD6","1","tudor domain containing 6",1
"467","466","IL17RE","1","interleukin 17 receptor E",1
"468","467","TMEM165","1","transmembrane protein 165",1
"469","468","SARDH","1","sarcosine dehydrogenase",2
"470","469","HPSE","1","heparanase",1
"471","470","PAGE2","1","PAGE family member 2",1
"472","471","DHRS4","1","dehydrogenase/reductase 4",1
"473","472","LAIR1","1","leukocyte associated immunoglobulin like receptor 1",1
"474","473","CALCA","1","calcitonin related polypeptide alpha",1
"475","474","PRR15L","1","proline rich 15 like",1
"476","475","BHLHE23","1","basic helix-loop-helix family member e23",5
"477","476","TOLLIP-AS1","1","TOLLIP antisense RNA 1 (head to head)",1
"478","477","ADGRA3","1","adhesion G protein-coupled receptor A3",3
"479","478","ST7","1","suppression of tumorigenicity 7",1
"480","479","ZNF541","1","zinc finger protein 541",1
"481","480","ASPDH","1","aspartate dehydrogenase domain containing",4
"482","481","CDKN1B","1","cyclin dependent kinase inhibitor 1B",1
"483","482","CLIC6","1","chloride intracellular channel 6",1
"484","483","CELF2","1","CUGBP Elav-like family member 2",1
"485","484","NAAA","1","N-acylethanolamine acid amidase",3
"486","485","CDC26","1","cell division cycle 26",1
